# simulation result for average latency

availability   orchestarion   rsc    
0.99    0.286963880471631    0.311300599382192
0.95    0.495799891767424    0.32240187847762
0.90    0.539815066546492    0.338060251971607
0.85    0.600987755183256    0.371917535802575
0.80    0.669910135229841    0.393529758859851
0.75    0.747480840137022    0.451717549534272
